month  ;     ME1;     ME2;     ME3;     ME4;     ME5;     ME6;     ME7;     ME8;     ME9;    ME10
1955-12;0.000331;0.000773;0.000328;0.000369;0.000906; 0.00062;0.000342;0.000392;0.000388;0.000216
1956-01;0.000144;0.000038;0.000139;0.000506;0.000502;0.001069;  0.0009;0.000986;0.000645;0.000824
1956-02;0.001116; 0.00079;0.001076;0.001218;0.000655;0.001289; 0.00156;0.001444;0.001303;0.001764
1956-03;0.000529;0.004032;0.001858;0.002061;0.001475;0.003931;0.002767;0.003352;0.003931;0.005373
1956-04;0.000059;0.000005;0.000077;0.000008;0.000066;0.000008;0.000083; 0.00004;0.000031;0.000044
1956-05;0.002144;0.001176;0.002581;0.001369;0.001537;0.000992;0.002098;0.001005;0.001354;0.003114
1956-06;0.000056;0.000027;0.000408;0.000225;0.000484;0.001568;0.000692;0.000676;0.001289;0.001592
1956-07;0.000199;0.001063; 0.00184;0.000961;0.001303;0.001789;0.002266;0.001892;0.002704;0.002777
1956-08;0.000085;0.000081;0.000213;0.000154;0.000154;0.000272;0.000581;0.000829; 0.00019;0.001274
1956-09;0.001089;0.000392;0.000686;0.000529;0.001156;0.001303; 0.00149;0.001739;0.002611;0.002798
1956-10;       0;0.000017;0.000104;0.000018;0.000072;0.000037; 0.00024;0.000026;0.000219; 0.00004
1956-11;0.000019;0.000012;0.000008;0.000225;0.000077;0.000077;0.000072;0.000027; 0.00021; 0.00001
1956-12;0.000019;0.000199;0.000562;0.001369;0.000538;0.000529;0.000967; 0.00079;0.000801;0.001384
1957-01;0.002134;0.000196;0.000361;0.000014;0.000007;       0;0.000104;0.000081;0.000276;0.002043
1957-02;0.000835;0.000282; 0.00074;0.000595;0.001176;0.000571;0.000317;0.000303;0.000335; 0.00031
1957-03; 0.00004;0.000441;0.000286;0.000543;0.000812;0.000445;0.000942;0.000484;0.000576;0.000538
1957-04;0.001129;0.000534;0.000408;0.000853;0.000428;0.000454;0.000548;0.000986;0.001063;0.002862
1957-05;0.000114;0.000002;0.000462;  0.0004; 0.00042;0.000676; 0.00064;0.000396;0.001429;0.001739
1957-06;0.000441;0.000001;       0;       0;  0.0001;0.000121;0.000104;0.000557;0.000795;0.000002
1957-07;0.000088;0.000023;0.000102;0.000061;       0;0.000044;0.000035;0.000004;0.000007;0.000151
1957-08;0.002153;0.001303;0.002144;0.002381;0.002725;0.002777;0.003215;0.003672;0.002391;0.002181
1957-09;  0.0036;0.001576;0.002333; 0.00253;0.003994;0.002642; 0.00257; 0.00254; 0.00245;0.003648
1957-10; 0.00819;0.006084;0.004747;0.004816;0.005184;0.003136;  0.0025;0.002381;0.001697;0.001267
1957-11;0.000008;0.000166;0.000003;0.000064;0.000801;0.001122;0.000751;0.001005;0.001459;0.000538
1957-12;0.002704;0.002905;0.002162;0.002632;0.002777; 0.00184;0.001089;0.001082;0.000686;0.001452
1958-01;0.018387;0.016538;0.011925;0.012544;0.011513; 0.00939;0.007815;0.007413;0.003329;0.001253
