month,y_true,y_pred,decile
1948-11,-0.0992,-0.0123600876335558,ME6
1948-11,-0.1186,0.0022235996483019,ME7
1948-11,-0.0951,-0.0012727855007941,ME8
1948-11,-0.1013,0.0033618973563038,ME9
1948-12,-0.0297,0.0458422206176544,ME1
1948-12,0.0373,0.0250458376184953,ME10
1948-12,-0.0021,0.0460439149972703,ME2
1948-12,0.0074,0.031073105234675,ME3
1948-12,0.0004,0.0386484856071257,ME4
1948-12,0.0121,0.0351771913271237,ME5
1948-12,0.0231,0.0416264283202401,ME6
1948-12,0.0219,0.0460739568774186,ME7
1948-12,0.03,0.0371833738148156,ME8
1948-12,0.0347,0.0363798959387994,ME9
1949-01,0.0343,0.0177291127995342,ME1
1949-01,-0.0012,0.0020461967901571,ME10
1949-01,0.036,0.0163240813101532,ME2
1949-01,0.0197,0.0227685098600016,ME3
1949-01,0.0153,0.0283702438815799,ME4
1949-01,0.0125,0.0227355010822773,ME5
1949-01,-0.0023,0.0345164947322904,ME6
1949-01,0.0167,0.0217459250273475,ME7
1949-01,0.0156,0.0220017919489893,ME8
1949-01,0.008,0.0099077696162312,ME9
1949-02,-0.0495,0.0455443745607731,ME1
1949-02,-0.0289,0.0358784854507203,ME10
1949-02,-0.0454,0.0321824129344565,ME2
1949-02,-0.0535,0.031977270336015,ME3
1949-02,-0.0533,0.0287646736405938,ME4
1949-02,-0.0406,0.0264931131684917,ME5
1949-02,-0.0345,0.0300013730867909,ME6
1949-02,-0.0326,0.0329295518990551,ME7
1949-02,-0.0229,0.0242795666591123,ME8
1949-02,-0.0195,0.0361129692589659,ME9
1949-03,0.0722,0.0407080169884129,ME1
1949-03,0.0362,-0.003134154354738,ME10
1949-03,0.0677,0.0270640078197182,ME2
1949-03,0.0666,0.0212925390083149,ME3
1949-03,0.0604,0.0207515621410574,ME4
1949-03,0.0657,0.0105657244716626,ME5
1949-03,0.0601,0.0074069911285636,ME6
1949-03,0.0576999999999999,-0.0006845919482477,ME7
1949-03,0.0418,0.0042719555281221,ME8
1949-03,0.0458,-0.0034025428534994,ME9
1949-04,-0.0248,-0.0154431899362224,ME1
1949-04,-0.0118,-0.0165280158573735,ME10
1949-04,-0.0294,-0.0279402035461001,ME2
1949-04,-0.0260999999999999,-0.0315899172675649,ME3
1949-04,-0.0385999999999999,-0.0258929516340809,ME4
1949-04,-0.0220999999999999,-0.0272637355736536,ME5
1949-04,-0.044,-0.0302447388888122,ME6
1949-04,-0.0349,-0.026450309185897,ME7
1949-04,-0.0291,-0.0257006826074724,ME8
1949-04,-0.023,-0.0298660499237884,ME9
1949-05,-0.0588,0.0359324884013805,ME1
1949-05,-0.0301,0.0197282108045437,ME10
1949-05,-0.0686,0.0106510918117283,ME2
1949-05,-0.0530999999999999,0.0173944274111686,ME3
1949-05,-0.0339,0.0228844643208414,ME4
1949-05,-0.0301,0.0153559081869579,ME5
1949-05,-0.0395999999999999,0.0260061071143334,ME6
1949-05,-0.0362,0.0192719458812865,ME7
1949-05,-0.0181,0.0134980140620904,ME8
1949-05,-0.0181,0.0184370922702493,ME9
1949-06,-0.0089,-0.0110772527993547,ME1
1949-06,0.0037,-0.0106293811789064,ME10
1949-06,-0.0112,-0.0149598623879939,ME2
1949-06,-0.0163,-0.0066907925529811,ME3
1949-06,-0.01,-0.0031838197660376,ME4
1949-06,-0.0113,-0.0068117332284316,ME5
1949-06,-0.0186,-0.008885216977751,ME6
1949-06,-0.0093,-0.0098623878129907,ME7
1949-06,0.002,-0.0065079360171544,ME8
1949-06,0.0093999999999999,-0.0110742574566152,ME9
1949-07,0.0757,0.0236764124310799,ME1
1949-07,0.0547,-0.0034242423183956,ME10
1949-07,0.0493,0.0072798192246998,ME2
1949-07,0.0608,-0.0031272271711016,ME3
1949-07,0.0692,-0.0156748555329315,ME4
1949-07,0.0670999999999999,-0.0152913871144076,ME5
1949-07,0.0662,-0.0131161055069248,ME6
1949-07,0.0665,-0.0106863033707352,ME7
1949-07,0.0615,-0.0045084826709051,ME8
1949-07,0.0513999999999999,-0.0035963460477719,ME9
1949-08,0.0121999999999999,0.0214477731978881,ME1
1949-08,0.0298,0.013951106087706,ME10
1949-08,0.0306,0.0021486924645315,ME2
1949-08,0.0194,0.0085857131847861,ME3
1949-08,0.0283,0.0087980206516177,ME4
1949-08,0.0388,0.0132648829843426,ME5
1949-08,0.0218,0.0189225980923408,ME6
1949-08,0.0262,0.012159341011757,ME7
1949-08,0.0204999999999999,0.0099296733656347,ME8
1949-08,0.0178,0.0110656014233977,ME9
1949-09,0.0556,0.013440087247546,ME1
1949-09,0.0266,0.0020084529108889,ME10
1949-09,0.0364,0.0040051437094282,ME2
1949-09,0.0443,0.0014882866402645,ME3
1949-09,0.0506,-0.0043636470123504,ME4
1949-09,0.0421999999999999,-0.0020714433999748,ME5
1949-09,0.0435,-0.0078650355527385,ME6
1949-09,0.0438,-0.000194218834517,ME7
1949-09,0.0424,-0.0055414815468735,ME8
1949-09,0.0381,-0.0005042028820779,ME9
1949-10,0.0766,0.0315771663966688,ME1
1949-10,0.034,-0.0145456651551928,ME10
1949-10,0.0453,0.0196522664213099,ME2
1949-10,0.0482,0.0020470281994669,ME3
1949-10,0.0306999999999999,-0.0076349459418389,ME4
1949-10,0.0374,-0.0033040447066762,ME5
1949-10,0.0352,-0.0100869986216307,ME6
1949-10,0.0256999999999999,-0.0042695088058406,ME7
1949-10,0.0278,-0.0067148616348391,ME8
1949-10,0.0258,-0.0038446167279923,ME9
1949-11,-0.0168,-0.0033199766578414,ME1
1949-11,0.0185,-0.0057161319957811,ME10
1949-11,-0.0028,-0.0186121395530495,ME2
1949-11,0.0031,-0.0250377745451689,ME3
1949-11,0.0077,-0.0273065677512131,ME4
1949-11,0.0109,-0.0202998848467361,ME5
1949-11,0.0128,-0.0206705063477459,ME6
1949-11,0.0247,-0.0077394339621637,ME7
1949-11,0.0171,-0.0098237138018297,ME8
1949-11,0.0288,-0.0021391206362068,ME9
1949-12,0.0936999999999999,0.031875263083302,ME1
1949-12,0.0454,0.0098521918562008,ME10
1949-12,0.0716,0.025976651061512,ME2
1949-12,0.0827,0.0149845375254612,ME3
1949-12,0.0639,0.008993481832545,ME4
1949-12,0.0751,0.009952273575845,ME5
1949-12,0.0839,0.0086646298514608,ME6
1949-12,0.0605,0.0008556576320658,ME7
1949-12,0.0617999999999999,-0.0002580282083294,ME8
1949-12,0.059,0.0087767242892874,ME9
1950-01,0.0565,0.0300053418436643,ME1
1950-01,0.0116,-0.0097921735577043,ME10
1950-01,0.066,0.0095859258384584,ME2
1950-01,0.0421999999999999,0.0002845234389246,ME3
1950-01,0.0445,-0.0056046016141943,ME4
1950-01,0.0537,-0.0030797338089574,ME5
1950-01,0.0387,-0.0102537805131851,ME6
1950-01,0.0247,-0.0077995502854457,ME7
1950-01,0.0243,-0.0086333304328139,ME8
1950-01,0.0210999999999999,-0.005450610244844,ME9
1950-02,0.026,0.0175197310547763,ME1
1950-02,0.0143,0.0043604349262452,ME10
1950-02,0.0243,-0.0038032309794034,ME2
1950-02,0.0255,-0.0055882359084031,ME3
1950-02,0.0159,-0.0050418488365171,ME4
1950-02,0.0017,-0.0016846704134485,ME5
1950-02,0.0131,-0.0020084145841236,ME6
1950-02,0.0162,-0.0014593805114824,ME7
1950-02,0.0169,0.0001479621995856,ME8
1950-02,0.0197999999999999,0.0053962830025027,ME9
1950-03,-0.0018,0.0273941250683436,ME1
1950-03,0.0197,0.0091250321725294,ME10
1950-03,-0.001,0.0088815433314136,ME2
1950-03,-0.0163,0.0065376971287409,ME3
1950-03,0.0009,0.0090688384884464,ME4
1950-03,-0.0083,0.0072767645409264,ME5
1950-03,0.0016,0.0085053941933533,ME6
1950-03,-0.0028,0.0054303772934772,ME7
1950-03,0.0115,0.0051262979856972,ME8
1950-03,0.0034,0.0075114163014052,ME9
1950-04,0.0629,0.0117910578014133,ME1
1950-04,0.0411,0.0091365469532484,ME10
1950-04,0.0645,0.0008585972837829,ME2
1950-04,0.0557,-0.0082203840311945,ME3
1950-04,0.0617999999999999,-3.228206218254537e-05,ME4
1950-04,0.0611,-0.0028145497812111,ME5
1950-04,0.0562,-0.0030205483576491,ME6
1950-04,0.0382,0.0071937367893512,ME7
1950-04,0.0327999999999999,0.0012655812641861,ME8
1950-04,0.0373,0.0069681603710493,ME9
1950-05,0.0364,0.0081455616331559,ME1
1950-05,0.0501999999999999,0.0111311946257503,ME10
1950-05,0.0175,0.008830410129439,ME2
1950-05,0.0209,0.006115040083328,ME3
1950-05,0.0341,0.014730728788309,ME4
1950-05,0.0260999999999999,0.0184258222174964,ME5
1950-05,0.0225,0.019014837430564,ME6
1950-05,0.0421,0.0114819434895675,ME7
1950-05,0.0311,0.0085058905453644,ME8
1950-05,0.0405,0.0116510493194487,ME9
1950-06,-0.0982,0.0389257199585702,ME1
1950-06,-0.0511,0.0103976586230301,ME10
1950-06,-0.1035,0.020263053671184,ME2
1950-06,-0.0839,0.0185100060284342,ME3
1950-06,-0.0787,0.0170326579925683,ME4
1950-06,-0.0724,0.0167819053471268,ME5
1950-06,-0.0758,0.0119090599785406,ME6
1950-06,-0.0691,0.0110364878904624,ME7
1950-06,-0.0791999999999999,0.0012625066680489,ME8
