month  ;    ME1;    ME2;    ME3;    ME4;    ME5;    ME6;    ME7;    ME8;    ME9;   ME10
1956-07; 0.0141; 0.0326; 0.0429;  0.031; 0.0361; 0.0423; 0.0476; 0.0435;  0.052; 0.0527
1956-08;-0.0092; -0.009;-0.0146;-0.0124;-0.0124;-0.0165;-0.0241;-0.0288;-0.0138;-0.0357
1956-09; -0.033;-0.0198;-0.0262; -0.023; -0.034;-0.0361;-0.0386;-0.0417;-0.0511;-0.0529
1956-10;-0.0002; 0.0041; 0.0102; 0.0042; 0.0085; 0.0061; 0.0155; 0.0051; 0.0148; 0.0063
1956-11; 0.0044; 0.0035; 0.0028;  0.015; 0.0088; 0.0088; 0.0085; 0.0052; 0.0145; 0.0032
1956-12; 0.0044; 0.0141; 0.0237;  0.037; 0.0232;  0.023; 0.0311; 0.0281; 0.0283; 0.0372
1957-01; 0.0462;  0.014;  0.019; 0.0037;-0.0026; 0.0006;-0.0102; -0.009;-0.0166;-0.0452
1957-02;-0.0289;-0.0168;-0.0272;-0.0244;-0.0343;-0.0239;-0.0178;-0.0174;-0.0183;-0.0176
1957-03; 0.0063;  0.021; 0.0169; 0.0233; 0.0285; 0.0211; 0.0307;  0.022;  0.024; 0.0232
1957-04; 0.0336; 0.0231; 0.0202; 0.0292; 0.0207; 0.0213; 0.0234; 0.0314; 0.0326; 0.0535
1957-05; 0.0107; 0.0015; 0.0215;   0.02; 0.0205;  0.026; 0.0253; 0.0199; 0.0378; 0.0417
1957-06;  0.021; 0.0008;-0.0001;-0.0005;  -0.01; -0.011;-0.0102;-0.0236;-0.0282; 0.0014
1957-07; 0.0094; 0.0048; 0.0101; 0.0078;-0.0002; 0.0066; 0.0059; 0.0019; 0.0026; 0.0123
1957-08;-0.0464;-0.0361;-0.0463;-0.0488;-0.0522;-0.0527;-0.0567;-0.0606;-0.0489;-0.0467
1957-09;  -0.06;-0.0397;-0.0483;-0.0503;-0.0632;-0.0514;-0.0507;-0.0504;-0.0495;-0.0604
1957-10;-0.0905; -0.078;-0.0689;-0.0694; -0.072; -0.056;  -0.05;-0.0488;-0.0412;-0.0356
1957-11;-0.0029; 0.0129; 0.0016;  0.008; 0.0283; 0.0335; 0.0274; 0.0317; 0.0382; 0.0232
1957-12; -0.052;-0.0539;-0.0465;-0.0513;-0.0527;-0.0429; -0.033;-0.0329;-0.0262;-0.0381
1958-01; 0.1356; 0.1286; 0.1092;  0.112; 0.1073; 0.0969; 0.0884; 0.0861; 0.0577; 0.0354
1958-02;-0.0206;-0.0146;-0.0053; 0.0065;-0.0114; 0.0005;-0.0073;-0.0081; -0.004;-0.0189
1958-03; 0.0362; 0.0367;  0.039; 0.0284; 0.0394; 0.0351; 0.0423; 0.0339; 0.0305; 0.0336
1958-04;  0.049;  0.028;   0.04; 0.0315; 0.0217; 0.0194; 0.0271; 0.0356; 0.0383;  0.031
1958-05; 0.0612;  0.031; 0.0381; 0.0407; 0.0517;  0.045; 0.0327; 0.0238; 0.0329; 0.0194
1958-06; 0.0363; 0.0278; 0.0354; 0.0254; 0.0322; 0.0243; 0.0317; 0.0279; 0.0312; 0.0298
1958-07; 0.0552; 0.0596; 0.0523; 0.0496;   0.07; 0.0619; 0.0482; 0.0474; 0.0492; 0.0412
1958-08; 0.0456; 0.0281; 0.0298; 0.0301; 0.0372; 0.0332; 0.0283; 0.0282;  0.017; 0.0169
1958-09; 0.0588; 0.0615; 0.0493; 0.0676;   0.05; 0.0481; 0.0539; 0.0429; 0.0429; 0.0493
1958-10; 0.0251; 0.0273; 0.0384; 0.0448; 0.0259; 0.0411; 0.0299; 0.0332; 0.0309; 0.0245
1958-11; 0.0238; 0.0609; 0.0622;  0.049; 0.0395; 0.0297; 0.0381; 0.0498; 0.0371; 0.0264
1958-12; 0.0356; 0.0332; 0.0313; 0.0471; 0.0296; 0.0345; 0.0459; 0.0372; 0.0435; 0.0606
1959-01; 0.0841; 0.0705;   0.06; 0.0459; 0.0447; 0.0372; 0.0258; 0.0191; 0.0104; 0.0022
1959-02; 0.0348; 0.0327; 0.0363; 0.0296; 0.0313;  0.037; 0.0325; 0.0287; 0.0183; 0.0038
1959-03; 0.0055; 0.0199;  0.035; 0.0152; 0.0064; 0.0101; 0.0182; 0.0019; 0.0087; 0.0031
1959-04; 0.0147; 0.0276;  0.016; 0.0391; 0.0291; 0.0435; 0.0366; 0.0319;  0.028; 0.0427
1959-05; 0.0012; 0.0314;-0.0113;-0.0007; 0.0128; 0.0098; 0.0161; 0.0038;-0.0021; 0.0284
1959-06; -0.012; 0.0139; 0.0017; 0.0096; 0.0183; 0.0127; 0.0176; 0.0075; 0.0068;-0.0045
1959-07;  0.038; 0.0218; 0.0319;  0.036; 0.0225; 0.0413; 0.0262;  0.025; 0.0362; 0.0356
1959-08; -0.015;-0.0004;-0.0161;-0.0188;-0.0203;-0.0019; -0.016;  -0.02;-0.0194;-0.0093
1959-09;-0.0384;-0.0482;-0.0424;-0.0417;-0.0481;-0.0402;-0.0525;-0.0464;-0.0509;-0.0433
1959-10;-0.0044; 0.0267; 0.0172; 0.0264; 0.0274; 0.0299; 0.0131;  0.042; 0.0242; 0.0099
1959-11; 0.0043; 0.0048; 0.0105; 0.0315; 0.0154;  0.007;  0.021; 0.0299;  0.012; 0.0189
1959-12; 0.0125; 0.0352; 0.0288; 0.0251;  0.025; 0.0201; 0.0167; 0.0069; 0.0159; 0.0344
1960-01; 0.0032;-0.0247;-0.0318;-0.0447;-0.0376;-0.0578;-0.0504;-0.0519;-0.0481;-0.0756
1960-02;-0.0124; 0.0109; 0.0158; 0.0174; 0.0105; 0.0012; 0.0158; 0.0206; 0.0117; 0.0149
1960-03; -0.015;-0.0344;-0.0295;-0.0286;-0.0263;-0.0261;-0.0219;-0.0204;-0.0099;-0.0102
1960-04;-0.0328;-0.0178;-0.0243;-0.0177;-0.0246;-0.0218;-0.0118; -0.011;-0.0017;-0.0184
1960-05; 0.0041; 0.0079; 0.0271; 0.0386; 0.0248; 0.0344; 0.0235; 0.0217; 0.0335;  0.034
1960-06; 0.0369; 0.0164; 0.0202; 0.0181; 0.0203; 0.0302; 0.0235; 0.0267; 0.0285; 0.0219
1960-07;-0.0156;-0.0163;-0.0229;-0.0173; -0.018;-0.0161; -0.027;-0.0107;-0.0213; -0.024
1960-08; 0.0531;  0.053; 0.0139; 0.0443; 0.0352; 0.0432; 0.0317; 0.0303; 0.0344; 0.0305
1960-09;-0.0588;-0.0602;-0.0589;-0.0671;-0.0606;-0.0581;-0.0606;-0.0512; -0.058;-0.0588
1960-10;-0.0334;-0.0255;-0.0333;-0.0192;-0.0406;-0.0193;-0.0206;-0.0136;-0.0096; 0.0009
1960-11; 0.0191; 0.0119;  0.053; 0.0389; 0.0598; 0.0593; 0.0501; 0.0642; 0.0646; 0.0427
